Location,Lat,Lon,p,e
"Queen's Gate	Kensington and Chelsea	London",51.496611,-0.179176,5620,137770
"Redcliffe	Kensington and Chelsea	London",51.486719,-0.187527,5140,113600
"Royal Hospital	Kensington and Chelsea	London",51.486787,-0.158185,4340,129490
"St. Charles	Kensington and Chelsea	London",51.521712,-0.215533,4230,70930
"Stanley	Kensington and Chelsea	London",51.512555,-0.205144,4300,114710
"Alexandra	Kingston upon Thames	London",51.417844,-0.286233,3410,53150
"Berrylands	Kingston upon Thames	London",51.394685,-0.284087,4260,54530
"Beverley	Kingston upon Thames	London",51.412715,-0.249912,4030,52140
"Canbury	Kingston upon Thames	London",51.415744,-0.29406,5260,59440
"Chessington North and Hook	Kingston upon Thames	London",51.376931,-0.283018,3360,47240
"Chessington South	Kingston upon Thames	London",51.363583,-0.296254,4110,48740
"Coombe Hill	Kingston upon Thames	London",51.414655,-0.249893,3760,59520
"Coombe Vale	Kingston upon Thames	London",51.412708,-0.285436,3700,57500
"Grove	Kingston upon Thames	London",51.412203,-0.313714,5130,53170
"Norbiton	Kingston upon Thames	London",51.411739,-0.28294,4140,43740
"Old Malden	Kingston upon Thames	London",51.384967,-0.252908,3670,53680
"St. James	Kingston upon Thames	London",51.408187,-0.304922,3360,53810
"St. Mark's	Kingston upon Thames	London",51.393724,-0.303017,4490,58420
"Surbiton Hill	Kingston upon Thames	London",51.399237,-0.302513,4610,55750
"Tolworth and Hook Rise	Kingston upon Thames	London",51.378277,-0.302558,3780,48080
"Tudor	Kingston upon Thames	London",51.417009,-0.314258,3730,64010
"Bishop's	Lambeth	London",51.478874,-0.123807,4960,51170
"Brixton Hill	Lambeth	London",51.453349,-0.120576,6770,49370
"Clapham Common	Lambeth	London",51.457831,-0.148165,5630,64590
"Clapham Town	Lambeth	London",51.461903,-0.145376,6380,57720
"Coldharbour	Lambeth	London",51.465633,-0.102982,7100,40490
"Ferndale	Lambeth	London",51.462783,-0.122067,6600,49960
"Gipsy Hill	Lambeth	London",51.42357,-0.083542,6420,46160
"Herne Hill	Lambeth	London",51.454547,-0.096661,6650,53040
"Knight's Hill	Lambeth	London",51.427752,-0.104649,6250,46550
"Larkhall	Lambeth	London",51.472149,-0.129386,7080,46970
"Oval	Lambeth	London",51.482021,-0.112792,7320,49580
"Prince's	Lambeth	London",51.464006,-0.142031,7200,47420
"St. Leonard's	Lambeth	London",51.415821,-0.123731,6230,50510
"Stockwell	Lambeth	London",51.468813,-0.125439,6390,44070
"Streatham Hill	Lambeth	London",51.44695,-0.125802,6280,49650
"Streatham South	Lambeth	London",51.427871,-0.124058,5410,46230
"Streatham Wells	Lambeth	London",51.455325,-0.118401,6300,48320
"Thornton	Lambeth	London",51.462651,-0.091484,5430,53300
"Thurlow Park	Lambeth	London",51.439594,-0.099645,5990,52900
"Tulse Hill	Lambeth	London",51.44477,-0.101123,6730,44800
"Vassall	Lambeth	London",51.477501,-0.107931,6510,43790
"Bellingham	Lewisham	London",51.431226,-0.014319,6240,37860
"Blackheath	Lewisham	London",51.466677,0.0035,6550,55200
"Brockley	Lewisham	London",51.463606,-0.036092,7770,46130
"Catford South	Lewisham	London",51.444641,-0.020106,5810,47390
"Crofton Park	Lewisham	London",51.451706,-0.033394,6280,52020
"Downham	Lewisham	London",51.425291,0.005105,6270,37320
